"CNPJ ENTIDADE";"NOME ENTIDADE";"NÚMERO CONVÊNIO";"ÓRGÃO CONCEDENTE";"MOTIVO DO IMPEDIMENTO"
"35561174000108";"CENTRO DE APOIO A CRIANCA E ADOLESCENTE DA VILA BREJAL";"106038";"Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"35561174000108";"CENTRO DE APOIO A CRIANCA E ADOLESCENTE DA VILA BREJAL";"109646";"Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"71525208000172";"SOCIEDADE BRASILEIRA DE MEDICINA FETAL-SOBRAMEF";"126088";"Ministério da Saúde - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"13224373000198";"CLUBE DAS OBRAS ASSISTENCIAIS E CULTURAIS DE CANSANCAO";"239951";"Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto";"INSCRICAO POR DECISAO DO T.C.U."
"23659535000174";"ASSOCIACAO DOS AMPUTADOS DO MARANHAO";"091798";"Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto";"DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR."
"05080541000190";"INSTITUTO BRASIL SOCIAL - IBAS";"626697";"Ministério do Turismo - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703067";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"700266";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732144";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"733184";"Ministério do Turismo - Unidades com vínculo direto";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732319";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"741671";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"622758";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"702988";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"630491";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732929";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"625836";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703583";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"704847";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"704183";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703066";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732029";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703734";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703153";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703084";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732866";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"702567";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732317";"Ministério do Turismo - Unidades com vínculo direto";"INSCRICAO POR DECISAO DO T.C.U."
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"629761";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"708815";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703085";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"733218";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703813";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"734870";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"649530";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"739365";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"704584";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703617";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"702995";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"638541";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
